Time,CPU Usage
42243.970613,23.5
42243.970624,23.4
42243.970636,23.8
42243.970647,23.0
42243.970659,21.7
42243.970671,22.1
42243.970682,24.0
42243.970694,22.8
42243.970706,24.1
42243.970717,24.2
42243.970729,24.2
42243.970740,23.9
42243.970752,23.7
42243.970763,24.0
42243.970775,23.7
42243.970787,23.2
42243.970798,22.7
42243.970810,20.9
42243.970821,22.5
42243.970833,23.7
42243.970845,23.9
42243.970856,22.9
42243.970868,23.0
42243.970880,23.5
42243.970891,23.3
42243.970903,18.7
42243.970915,11.6
42243.970926,15.2
42243.970938,24.3
42243.970949,14.7
42243.970961,16.9
42243.970972,10.8
42243.970984,18.4
42243.970996,20.2
42243.971007,18.4
42243.971019,22.2
42243.971031,22.5
42243.971042,22.2
42243.971054,22.1
42243.971065,21.9
42243.971077,22.0
42243.971089,22.2
42243.971100,21.2
42243.971112,21.2
42243.971123,20.0
42243.971135,13.9
42243.971147,14.3
42243.971158,14.4
42243.971170,14.4
42243.971181,20.5
42243.971193,15.6
42243.971205,17.2
42243.971216,14.5
42243.971228,16.3
42243.971240,15.6
42243.971251,9.3
42243.971263,13.2
42243.971274,12.5
42243.971286,15.2
42243.971298,17.8
42243.971309,21.1
42243.971321,22.0
42243.971332,20.9
42243.971344,16.2
42243.971356,16.5
42243.971367,19.2
42243.971379,21.8
42243.971390,22.6
42243.971402,22.0
42243.971414,22.9
42243.971425,21.2
42243.971437,22.6
42243.971449,22.5
42243.971460,21.8
42243.971472,21.2
42243.971483,21.3
42243.971495,21.8
42243.971506,22.9
42243.971518,22.8
42243.971530,22.2
42243.971657,22.1
42243.971786,20.4
42243.971806,19.0
42243.971817,12.7
42243.971829,11.6
42243.971840,17.8
42243.971852,21.6
42243.971863,21.6
42243.971875,21.7
42243.971886,22.1
42243.971898,21.7
42243.971910,17.7
42243.971922,10.9
42243.971933,17.5
42243.971945,16.9
42243.971956,13.4
42243.971968,15.4
42243.971980,20.5
42243.971991,22.1
42243.972003,22.5
42243.972014,23.0
42243.972026,22.2
42243.972037,22.4
42243.972049,23.2
42243.972061,22.6
42243.972072,22.5
42243.972084,23.4
42243.972096,21.5
42243.972107,22.6
42243.972119,22.7
42243.972130,21.2
42243.972142,21.8
42243.972154,21.8
42243.972165,22.3
42243.972177,22.1
42243.972188,22.3
42243.972200,21.8
42243.972212,21.9
42243.972223,22.8
42243.972351,21.5
42243.972478,22.0
42243.972529,20.9
42243.972656,21.9
42243.972787,19.7
42243.972910,21.2
42243.973038,22.7
42243.973081,22.7
42243.973135,22.3
42243.973148,23.4
42243.973274,19.1
42243.973301,20.1
42243.973312,12.7
42243.973324,16.1
42243.973335,21.9
42243.973347,22.6
42243.973358,22.2
42243.973370,22.1
42243.973382,22.3
42243.973393,20.9
42243.973405,21.3
42243.973417,17.4
42243.973428,22.1
42243.973440,18.9
42243.973451,19.0
42243.973463,18.7
42243.973474,16.4
42243.973486,16.3
42243.973498,18.0
42243.973509,20.0
42243.973521,20.6
42243.973532,21.6
42243.973544,21.1
42243.973556,20.6
42243.973567,21.6
42243.973579,18.4
42243.973591,21.1
42243.973602,18.9
42243.973614,16.8
42243.973625,18.8
42243.973637,21.3
42243.973649,16.2
42243.973660,17.6
42243.973672,22.6
42243.973683,21.8
42243.973695,21.9
42243.973707,21.6
42243.973718,22.1
42243.973730,20.5
42243.973741,21.4
42243.973753,21.1
42243.973765,21.4
42243.973776,21.4
42243.973788,20.8
42243.973799,14.3
42243.973811,16.8
42243.973823,19.5
42243.973834,21.7
42243.973846,22.5
42243.973857,21.5
42243.973869,21.6
42243.973881,21.4
42243.973892,22.3
42243.973904,23.0
42243.973915,22.2
42243.973927,21.6
42243.973939,22.0
42243.973950,22.2
42243.973962,22.0
42243.974063,22.8
42243.974156,22.5
42243.974283,22.2
42243.974330,22.6
42243.974457,22.6
42243.974560,22.0
42243.974618,13.4
42243.974677,0.2
42243.974751,0.2
42243.974842,15.3
42243.974885,22.1
42243.975011,22.5
42243.975147,23.7
42243.975266,22.2
42243.975393,22.8
42243.975459,23.1
42243.975586,22.4
42243.975667,22.1
42243.975673,12.8
42243.975685,21.2
42243.975726,21.6
42243.975738,20.9
42243.975764,20.4
42243.975776,19.4
42243.975846,22.2
42243.975858,21.3
42243.975898,21.7
42243.975910,20.5
42243.976037,20.0
42243.976105,20.1
42243.976116,14.8
42243.976244,23.0
42243.976282,21.7
42243.976294,17.9
42243.976421,23.0
42243.976548,22.2
42243.976676,23.0
42243.976750,22.1
42243.976758,22.0
42243.976792,20.9
42243.976804,21.1
42243.976834,22.1
42243.976856,17.6
42243.976867,21.2
42243.976879,20.5
42243.976898,21.7
42243.976920,19.2
42243.976948,21.6
42243.976959,13.2
42243.976973,15.6
42243.976982,15.9
42243.977009,20.8
42243.977020,19.5
42243.977147,22.1
42243.977159,22.9
42243.977286,22.6
42243.977414,21.3
42243.977429,20.9
42243.977438,20.4
42243.977488,20.7
42243.977499,18.6
42243.977511,21.0
42243.977542,20.9
42243.977669,22.8
42243.977683,21.3
42243.977810,22.5
42243.977827,19.9
42243.977841,22.1
42243.977852,17.8
42243.977874,14.6
42243.977885,10.9
42243.978009,22.7
42243.978136,22.0
42243.978174,16.8
42243.978186,16.3
42243.978200,21.1
42243.978325,17.1
42243.978452,17.7
42243.978580,21.3
42243.978707,21.8
42243.978758,22.1
42243.978769,13.3
42243.978780,21.9
42243.978792,21.7
42243.978804,19.0
42243.978815,22.9
42243.978827,22.6
42243.978838,22.6
42243.978850,23.5
42243.978862,23.4
42243.978873,21.9
42243.978885,22.2
42243.978897,23.0
42243.978908,22.1
42243.978920,23.1
42243.978931,22.2
42243.978943,22.3
42243.978955,23.2
42243.978966,23.0
42243.978978,23.7
42243.978989,21.0
42243.979001,16.3
42243.979013,22.0
42243.979024,22.1
42243.979036,22.0
42243.979047,23.1
42243.979059,24.2
42243.979071,22.5
42243.979082,22.4
42243.979094,22.0
42243.979106,21.9
42243.979117,21.3
42243.979129,22.0
42243.979140,21.5
42243.979152,21.8
42243.979164,22.5
42243.979175,21.8
42243.979303,23.0
42243.979385,22.3
42243.979507,22.8
42243.979634,22.8
42243.979761,22.6
42243.979889,22.5
42243.979967,20.2
42243.979980,19.5
42243.980020,19.0
42243.980142,19.4
42243.980165,7.9
42243.980280,19.4
42243.980408,20.6
42243.980448,20.4
42243.980565,20.7
42243.980654,19.2
42243.980724,0.2
42243.980782,0.2
42243.980908,15.9
42243.981036,23.0
42243.981102,22.4
42243.981220,22.6
42243.981230,23.5
42243.981358,23.1
42243.981485,22.7
42243.981612,22.3
42243.981739,21.9
42243.981804,22.7
42243.981931,22.6
42243.982058,23.0
42243.982186,23.1
